group,quantity,value,unit,definition
event2,predicted 2|L|sin(|dpsi|/2),0.7311,m,eq. (2)
event2,residual,0.0014,m,dp_pub - prediction
event2,dp_ant,0.1899,m,reconstructed ANT1 point over the same frame
event2,cov35,7.61544e-05,rad^2,heading variance published by the driver
event2,status,4,-,4 = RTK fixed
event2,satellites,15,-,from /rtk/status
event2,differential age,1.0,s,from /rtk/status
event2,IMU increment,-0.302,deg,gyro-integrated heading change over the same frame
event2,gyro envelope,0.0523,rad/s,max |omega_z| over the frame
event2,cross-track (pre-jump frame),-0.6665,m,eq. (3)
event2,along-track (pre-jump frame),0.3043,m,eq. (3)
event2,separation from event1,-327.5,s,negative = earlier; the two events are not in the same 60 s window
event1,frames with |dpsi| > 20 deg in this bag,37,frame,
gate,genuine frames,321238,frame,"|wrap(dpsi - dpsi_imu)| <= 2.0 deg: the reported increment agrees with the gyro, so withholding or overriding it is a false gate trip"
gate,outlier frames,10441,frame,frames with an IMU increment that disagrees by more than 2.0 deg
gate,genuine frames (straight),135645,frame,
gate,genuine frames (turn),26594,frame,
gate,genuine frames (slow),158953,frame,
gate,pseudo-step frames in the sweep,36,frame,candidate frames with dp_pub >= 0.10 m
gyro_drift,windows measured,28,window,"60 s windows of contiguous not-turning (v2 straight or slow), fixed-solution frames with a usable gyro, in 5 recordings"
gyro_drift,median drift,0.01005,deg/s,|gyro-integrated heading change - HDT heading change| / window length
gyro_drift,median drift (rad/s),0.0001755,rad/s,
gyro_drift,p90 drift,0.43199,deg/s,
gyro_drift,max drift,1.43618,deg/s,
gyro_drift,gyro_drift_rate used,0.002,rad/s,"0.115 deg/s = 6.88 deg per minute withheld; an order of magnitude above the measured median and well below the p90, so the allowance covers MEMS bias without covering a real heading error"
gyro_drift,seconds to cover a 67.5 deg error at g=17 deg,441.0,s,how long rule (a) would have to stay withheld before the allowance alone could re-anchor onto the 2026-09-06 15:57 heading
gate,frames without a gyro reference,21918,frame,7 recordings carry no IMU; under rule (a) these frames fall back to rule (b)
gated_residual,no gate: frames >=0.05 m,100,frame,"the ungated published stream, for reference"
gated_residual,no gate: episodes >=0.05 m,53,-,frames closer together than 5 s are one episode
gated_residual,no gate: frames >=0.10 m,36,frame,"the ungated published stream, for reference"
gated_residual,no gate: episodes >=0.10 m,21,-,frames closer together than 5 s are one episode
gated_residual,no gate: frames >=0.20 m,17,frame,"the ungated published stream, for reference"
gated_residual,no gate: episodes >=0.20 m,12,-,frames closer together than 5 s are one episode
gated_residual,no gate: frames >=0.30 m,12,frame,"the ungated published stream, for reference"
gated_residual,no gate: episodes >=0.30 m,8,-,frames closer together than 5 s are one episode
gated_residual,no gate: frames >=0.50 m,2,frame,"the ungated published stream, for reference"
gated_residual,no gate: episodes >=0.50 m,2,-,frames closer together than 5 s are one episode
gate,recommended g,17.0,deg,"smallest 1 deg step at or above the measured physical bound 16.66 deg/frame (|omega_z|max x 0.2 s), so no physically possible increment is rejected"
gate,recommended max_yaw_rate,1.2335,rad/s,with yaw_gate_margin at the deployed 0.05 rad
gate,recommended yaw_gate_margin,0.05,rad,
gate,recommended max_hold_frames,5,frame,
gate,recommended nominal_dt,0.2,s,
gate,recommended max_gap_frames,3,frame,a reference older than 0.6 s is declared stale
gate,recommended gyro_drift_rate,0.002,rad/s,rule (a) only; see the gyro_drift group
gate,recommended rule,v3a (use_gyro = true),,rule (b) is the fallback where no IMU is present
gate,fixed budget at the recommended gate,0.2967,rad,max_yaw_rate x nominal_dt + yaw_gate_margin = 17.00 deg; v3 never scales it with dt
gate_v3a,at g=17 deg: false-gate rate (overall),5.328448,%,
gate_v3b,at g=17 deg: false-gate rate (overall),0.043893,%,
gate_v2,at g=17 deg: false-gate rate (overall),0.028017,%,
gate_v3a,"at g=17 deg: false-gate rate, episodes the gyro did not contradict",0.602357,%,
gate_v3b,"at g=17 deg: false-gate rate, episodes the gyro did not contradict",0.004047,%,
gate_v2,"at g=17 deg: false-gate rate, episodes the gyro did not contradict",0.001556,%,
gate_v3a,at g=17 deg: genuine frames inside outlier-triggered outages,15182,frame,
gate_v3b,at g=17 deg: genuine frames inside outlier-triggered outages,128,frame,
gate_v2,at g=17 deg: genuine frames inside outlier-triggered outages,85,frame,
gate_v3a,at g=17 deg: outages,95,-,
gate_v3b,at g=17 deg: outages,164,-,
gate_v2,at g=17 deg: outages,534,-,
gate_v3a,at g=17 deg: outages opened by an outlier,89,-,
gate_v3b,at g=17 deg: outages opened by an outlier,143,-,
gate_v2,at g=17 deg: outages opened by an outlier,518,-,
gate_v3a,at g=17 deg: false-gate rate (straight),1.2776,%,
gate_v3b,at g=17 deg: false-gate rate (straight),0.048656,%,
gate_v2,at g=17 deg: false-gate rate (straight),0.030226,%,
gate_v3a,at g=17 deg: false-gate rate (turn),2.459201,%,
gate_v3b,at g=17 deg: false-gate rate (turn),0.109047,%,
gate_v2,at g=17 deg: false-gate rate (turn),0.090246,%,
gate_v3a,at g=17 deg: genuine frames held or withheld,17117,frame,
gate_v3b,at g=17 deg: genuine frames held or withheld,141,frame,
gate_v2,at g=17 deg: genuine frames held or withheld,90,frame,
gate_v3a,at g=17 deg: genuine frames withheld,17083,frame,
gate_v3b,at g=17 deg: genuine frames withheld,80,frame,
gate_v2,at g=17 deg: genuine frames withheld,13,frame,
gate_v3a,at g=17 deg: outlier frames held or withheld,1560,frame,
gate_v3b,at g=17 deg: outlier frames held or withheld,242,frame,
gate_v2,at g=17 deg: outlier frames held or withheld,586,frame,
gate_v3a,at g=17 deg: frames held,154,frame,
gate_v3b,at g=17 deg: frames held,262,frame,
gate_v2,at g=17 deg: frames held,662,frame,
gate_v3a,at g=17 deg: frames withheld,19466,frame,
gate_v3b,at g=17 deg: frames withheld,139,frame,
gate_v2,at g=17 deg: frames withheld,40,frame,
gate_v3a,at g=17 deg: frames withheld,5.336089,%,
gate_v3b,at g=17 deg: frames withheld,0.038103,%,
gate_v2,at g=17 deg: frames withheld,0.010965,%,
gate_v3a,at g=17 deg: pseudo-step frames caught,25,frame,
gate_v3b,at g=17 deg: pseudo-step frames caught,31,frame,
gate_v2,at g=17 deg: pseudo-step frames caught,31,frame,
gate_v3a,at g=17 deg: pseudo-step frames caught,69.444444,%,
gate_v3b,at g=17 deg: pseudo-step frames caught,86.111111,%,
gate_v2,at g=17 deg: pseudo-step frames caught,86.111111,%,
gate_v3a,at g=17 deg: pseudo-step frames missed,11,frame,
gate_v3b,at g=17 deg: pseudo-step frames missed,5,frame,
gate_v2,at g=17 deg: pseudo-step frames missed,5,frame,
gate_v3a,at g=17 deg: longest hold (any frames),6488,frame,
gate_v3b,at g=17 deg: longest hold (any frames),8,frame,
gate_v2,at g=17 deg: longest hold (any frames),12,frame,
gate_v3a,at g=17 deg: longest hold on genuine frames,2,frame,
gate_v3b,at g=17 deg: longest hold on genuine frames,1,frame,
gate_v2,at g=17 deg: longest hold on genuine frames,0,frame,
gate_v3a,"at g=17 deg: published error during genuine holds, max",0.023519,m,
gate_v3b,"at g=17 deg: published error during genuine holds, max",0.077886,m,
gate_v2,"at g=17 deg: published error during genuine holds, max",0.256334,m,
gate_v3a,"at g=17 deg: published error during genuine holds, RMS",0.006198,m,
gate_v3b,"at g=17 deg: published error during genuine holds, RMS",0.015519,m,
gate_v2,"at g=17 deg: published error during genuine holds, RMS",0.062305,m,
gate_v3a,at g=17 deg: genuine held frames measured,34,frame,
gate_v3b,at g=17 deg: genuine held frames measured,61,frame,
gate_v2,at g=17 deg: genuine held frames measured,77,frame,
gate_v3a,at g=17 deg: event 1 caught,1,-,
gate_v3b,at g=17 deg: event 1 caught,1,-,
gate_v2,at g=17 deg: event 1 caught,1,-,
gate_v3a,at g=17 deg: event 2 caught,1,-,
gate_v3b,at g=17 deg: event 2 caught,1,-,
gate_v2,at g=17 deg: event 2 caught,1,-,
gate_v1,at g=17 deg: false-gate rate (overall),0.030507,%,
gate_v1,at g=17 deg: pseudo-step frames caught,29,frame,
gate_v1,at g=17 deg: pseudo-step frames caught,80.555556,%,
gate_v1,at g=17 deg: event 1 caught,1,-,
gate_v1,at g=17 deg: event 2 caught,0,-,
gate_v1,at g=17 deg: longest rejection run on genuine frames,0,frame,
gate_v3a,at g=17 deg: pseudo-step misses |dpsi|,59.1;52.6;44.5;32.4;25.7;22.4;22.1;19.2;17.4;16.7;16.6,deg,largest first
gate_v3a,at g=17 deg: re-anchor events,71,frame,frames on which the heading was trusted again
gate_v3a,at g=17 deg: stale-reference invalidations,73,frame,dt > max_gap_frames x nominal_dt = 0.6 s
gate_v3b,at g=17 deg: pseudo-step misses |dpsi|,79.9;32.4;29.7;16.7;16.6,deg,largest first
gate_v3b,at g=17 deg: re-anchor events,124,frame,frames on which the heading was trusted again
gate_v3b,at g=17 deg: stale-reference invalidations,124,frame,dt > max_gap_frames x nominal_dt = 0.6 s
gate_v3a,at g=17 deg: frames falling back to rule (b),0,frame,"frames in the 7 IMU-less recordings, where rule (a) has no gyro reference"
gate,patch default g,8.594,deg,max_yaw_rate 0.5 rad/s x 0.2 s + yaw_gate_margin 0.05 rad
gate_v3a,at the patch default: false-gate rate,9.200966,%,"nearest swept gate, g = 9 deg"
gate_v3a,at the patch default: pseudo-step frames caught,83.3333,%,
gate_v2,at the patch default: false-gate rate,0.610762,%,"nearest swept gate, g = 9 deg"
gate_v2,at the patch default: pseudo-step frames caught,83.3333,%,
gate_v1,at the patch default: false-gate rate,0.914898,%,"nearest swept gate, g = 9 deg"
gate_v1,at the patch default: pseudo-step frames caught,77.7778,%,
gate_v3a,smallest g with false-gate rate <= 0.1 %,nan,deg,never reached in the swept range
gate_v3b,smallest g with false-gate rate <= 0.1 %,13.0,deg,
gate_v1,largest g catching event1,30.0,deg,
gate_v2,largest g catching event1,30.0,deg,
gate_v3a,largest g catching event1,30.0,deg,
gate_v3b,largest g catching event1,30.0,deg,
gate_v1,largest g catching event2,7.0,deg,
gate_v2,largest g catching event2,30.0,deg,
gate_v3a,largest g catching event2,25.0,deg,
gate_v3b,largest g catching event2,30.0,deg,
gate_v3a,"at g=17 deg: missed frames, |dpsi| against the previous frame",16.6 - 59.1,deg,the increment that produced the position step
gate_v3a,"at g=17 deg: missed frames, |dpsi| against the held anchor",0.1 - 16.7,deg,"what the gate actually compares; every one of these is inside the 17 deg budget, so the frame is accepted although the step still happens"
gate_v3a,"at g=17 deg: missed frames, largest budget faced",18.33,deg,"v3 never scales the budget with dt; the widest value here is the rule (a) gyro allowance, not a dt term"
gate_v3b,"at g=17 deg: missed frames, |dpsi| against the previous frame",16.6 - 79.9,deg,the increment that produced the position step
gate_v3b,"at g=17 deg: missed frames, |dpsi| against the held anchor",10.7 - 16.7,deg,"what the gate actually compares; every one of these is inside the 17 deg budget, so the frame is accepted although the step still happens"
gate_v3b,"at g=17 deg: missed frames, largest budget faced",17.0,deg,"v3 never scales the budget with dt; the widest value here is the rule (a) gyro allowance, not a dt term"
gate_v3a,at g=17 deg: pseudo-step frames caught >=0.05 m,47,frame,of 98 frames in this size class; caught = the gate held or withheld the frame
gate_v3a,at g=17 deg: pseudo-step frames missed >=0.05 m,51,frame,
gate_v3a,at g=17 deg: missed |dpsi| min >=0.05 m,5.4316,deg,
gate_v3a,at g=17 deg: missed |dpsi| max >=0.05 m,59.0758,deg,
gate_v3a,at g=17 deg: pseudo-step frames caught >=0.10 m,25,frame,of 36 frames in this size class; caught = the gate held or withheld the frame
gate_v3a,at g=17 deg: pseudo-step frames missed >=0.10 m,11,frame,
gate_v3a,at g=17 deg: missed |dpsi| min >=0.10 m,16.5971,deg,
gate_v3a,at g=17 deg: missed |dpsi| max >=0.10 m,59.0758,deg,
gate_v3a,at g=17 deg: pseudo-step frames caught >=0.20 m,13,frame,of 17 frames in this size class; caught = the gate held or withheld the frame
gate_v3a,at g=17 deg: pseudo-step frames missed >=0.20 m,4,frame,
gate_v3a,at g=17 deg: missed |dpsi| min >=0.20 m,32.4422,deg,
gate_v3a,at g=17 deg: missed |dpsi| max >=0.20 m,59.0758,deg,
gate_v3a,at g=17 deg: pseudo-step frames caught >=0.30 m,11,frame,of 13 frames in this size class; caught = the gate held or withheld the frame
gate_v3a,at g=17 deg: pseudo-step frames missed >=0.30 m,2,frame,
gate_v3a,at g=17 deg: missed |dpsi| min >=0.30 m,52.555,deg,
gate_v3a,at g=17 deg: missed |dpsi| max >=0.30 m,59.0758,deg,
gate_v3a,at g=17 deg: pseudo-step frames caught >=0.50 m,2,frame,of 2 frames in this size class; caught = the gate held or withheld the frame
gate_v3a,at g=17 deg: pseudo-step frames missed >=0.50 m,0,frame,
gate_v1,at g=17 deg: hold count entering event 2,5,frame,consecutive rejected frames immediately before event 2
gate_v1,at g=17 deg: budget at event 2,88.03,deg,"max_yaw_rate * dt-since-last-accepted + yaw_gate_margin, unbounded in v1"
gate_v1,at g=17 deg: |delta| vs stale anchor at event 2,26.9,deg,clampRotation(yaw - last_accepted_yaw); accepted when it falls inside the budget
gate_v1,at g=17 deg: event 2 frame rejected,0,-,0 = the outlier was accepted
gate_v3a,outages longer than 60 s,10,-,runs of consecutive not-accepted frames at the recommended gate
gate_v3a,frames inside outages longer than 60 s,18225,frame,5.0 % of the corpus; these dominate the raw false-gate rate
gate_v3a,longest outage,1297.6,s,run_20260828_2026-08-28-10-16-47 from 2026-08-28 10:46:00.611
gate_v3a_outages,1 run_20260828_2026-08-28-10-16-47 2026-08-28 10:46:00.611,1297.6,s,"6488 frames; opened by a -168.3 deg reported increment the gyro put at 0.08 deg (status 5, dp_pub 0.679 m, dp_ant 0.076 m); median |reported - propagated| during the outage 168.0 deg"
gate_v3a_outages,2 run_20260906_2026-09-06-15-26-15 2026-09-06 15:37:19.650,827.2,s,"4137 frames; opened by a 110.7 deg reported increment the gyro put at -0.00 deg (status 5, dp_pub 0.602 m, dp_ant 0.001 m); median |reported - propagated| during the outage 111.8 deg"
gate_v3a_outages,3 run_20260828_2026-08-28-16-38-15 2026-08-28 16:41:39.451,558.7,s,"2793 frames; opened by a -117.2 deg reported increment the gyro put at nan deg (status 4, dp_pub 0.642 m, dp_ant 0.018 m); median |reported - propagated| during the outage 85.3 deg"
gate_v3a_outages,4 run_20260829_2026-08-29-09-12-05 2026-08-29 09:49:01.650,200.4,s,"1002 frames; opened by a 58.4 deg reported increment the gyro put at 0.86 deg (status 4, dp_pub 0.354 m, dp_ant 0.003 m); median |reported - propagated| during the outage 58.0 deg"
gate_v3a_outages,5 run_20260906_2026-09-06-15-26-15 2026-09-06 15:57:03.094,192.7,s,"963 frames; opened by a -67.5 deg reported increment the gyro put at 0.00 deg (status 4, dp_pub 0.401 m, dp_ant 0.011 m); median |reported - propagated| during the outage 61.6 deg"
gate_v3a_outages,6 run_20260829_2026-08-29-09-12-05 2026-08-29 09:27:40.757,180.9,s,"905 frames; opened by a -36.7 deg reported increment the gyro put at 0.00 deg (status 4, dp_pub 0.229 m, dp_ant 0.003 m); median |reported - propagated| during the outage 37.9 deg"
gate_v3a_drift,gyro_drift_rate = 0.00018 rad/s (0.010 deg/s),15.8428,%,"false-gate rate; 56717 frames withheld, 32 pseudo-steps caught, 5027 s to forgive a 67.5 deg offset"
gate_v3a_drift,gyro_drift_rate = 0.00200 rad/s (0.115 deg/s),5.3284,%,"false-gate rate; 19466 frames withheld, 25 pseudo-steps caught, 441 s to forgive a 67.5 deg offset"
gate_v3a_drift,gyro_drift_rate = 0.00754 rad/s (0.432 deg/s),1.7697,%,"false-gate rate; 7455 frames withheld, 25 pseudo-steps caught, 117 s to forgive a 67.5 deg offset"
gate_v3a_bounded,max_gyro_ref_time = 5 s,12,episodes,"residual pseudo-step episodes >= 0.10 m in the gated output; false-gate 0.2254 %, 1020 frames withheld (0.2796 %), event 1 withheld 5.0 s and re-anchors 0.333 m off"
gate_v3a_bounded,max_gyro_ref_time = 10 s,9,episodes,"residual pseudo-step episodes >= 0.10 m in the gated output; false-gate 0.3686 %, 1642 frames withheld (0.4501 %), event 1 withheld 10.0 s and re-anchors 0.290 m off"
gate_v3a_bounded,max_gyro_ref_time = 20 s,8,episodes,"residual pseudo-step episodes >= 0.10 m in the gated output; false-gate 0.5342 %, 2335 frames withheld (0.6401 %), event 1 withheld 20.1 s and re-anchors 0.242 m off"
gate_v3a_bounded,max_gyro_ref_time = 60 s,7,episodes,"residual pseudo-step episodes >= 0.10 m in the gated output; false-gate 1.1172 %, 4868 frames withheld (1.3344 %), event 1 withheld 60.1 s and re-anchors 0.347 m off"
gate_v3a_bounded,max_gyro_ref_time = unbounded s,4,episodes,"residual pseudo-step episodes >= 0.10 m in the gated output; false-gate 5.3284 %, 19466 frames withheld (5.3361 %), event 1 withheld 192.7 s and re-anchors 0.242 m off"
gate_v3a_bounded,chosen max_gyro_ref_time,none qualifies,s,no setting keeps the false-gate rate at or below 0.1 %; rule (b) remains the default
event1_v3a,last trusted heading before the event,253.21,deg,the anchor the gate was holding when the 67.5 deg step arrived
event1_v3a,output withheld from,0.4,s,after the event frame; the 5 preceding frames are published with the held heading
event1_v3a,heading trusted again after,192.66,s,time from the event frame to the first accepted frame
event1_v3a,frames withheld,961,frame,
event1_v3a,heading at re-anchor,214.42,deg,
event1_v3a,true heading at re-anchor,253.14,deg,last trusted heading propagated with the integrated gyro
event1_v3a,heading error at re-anchor,38.72,deg,
event1_v3a,published position error at re-anchor,0.2424,m,2|L| sin(heading error / 2): what the vehicle reference point is off by once the gate trusts the heading again
event1_v3a,gyro allowance at re-anchor,39.1,deg,g + gyro_drift_rate x (t - last_accepted_t); rule (a) only
event1_v3b,last trusted heading before the event,253.21,deg,the anchor the gate was holding when the 67.5 deg step arrived
event1_v3b,output withheld from,0.4,s,after the event frame; the 5 preceding frames are published with the held heading
event1_v3b,heading trusted again after,0.6,s,time from the event frame to the first accepted frame
event1_v3b,frames withheld,1,frame,
event1_v3b,heading at re-anchor,187.82,deg,
event1_v3b,true heading at re-anchor,253.21,deg,last trusted heading propagated with the integrated gyro
event1_v3b,heading error at re-anchor,65.39,deg,
event1_v3b,published position error at re-anchor,0.3949,m,2|L| sin(heading error / 2): what the vehicle reference point is off by once the gate trusts the heading again
event1_v3b,gyro allowance at re-anchor,17.09,deg,g + gyro_drift_rate x (t - last_accepted_t); rule (a) only
gated_residual,v1 g=10 deg: frames >=0.05 m,109,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=10 deg: episodes >=0.05 m,76,-,
gated_residual,v1 g=10 deg: frames >=0.10 m,47,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=10 deg: episodes >=0.10 m,41,-,
gated_residual,v1 g=10 deg: frames >=0.20 m,15,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=10 deg: episodes >=0.20 m,15,-,
gated_residual,v1 g=10 deg: frames >=0.30 m,8,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=10 deg: episodes >=0.30 m,8,-,
gated_residual,v1 g=10 deg: frames >=0.50 m,1,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=10 deg: episodes >=0.50 m,1,-,
gated_residual,v1 g=17 deg: frames >=0.05 m,92,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=17 deg: episodes >=0.05 m,57,-,
gated_residual,v1 g=17 deg: frames >=0.10 m,34,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=17 deg: episodes >=0.10 m,24,-,
gated_residual,v1 g=17 deg: frames >=0.20 m,13,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=17 deg: episodes >=0.20 m,11,-,
gated_residual,v1 g=17 deg: frames >=0.30 m,9,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=17 deg: episodes >=0.30 m,8,-,
gated_residual,v1 g=17 deg: frames >=0.50 m,1,frame,pseudo-steps surviving in the gated output stream
gated_residual,v1 g=17 deg: episodes >=0.50 m,1,-,
gated_residual,v2 g=10 deg: frames >=0.05 m,104,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=10 deg: episodes >=0.05 m,73,-,
gated_residual,v2 g=10 deg: frames >=0.10 m,42,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=10 deg: episodes >=0.10 m,35,-,
gated_residual,v2 g=10 deg: frames >=0.20 m,10,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=10 deg: episodes >=0.20 m,10,-,
gated_residual,v2 g=10 deg: frames >=0.30 m,6,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=10 deg: episodes >=0.30 m,6,-,
gated_residual,v2 g=10 deg: frames >=0.50 m,1,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=10 deg: episodes >=0.50 m,1,-,
gated_residual,v2 g=17 deg: frames >=0.05 m,90,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=17 deg: episodes >=0.05 m,56,-,
gated_residual,v2 g=17 deg: frames >=0.10 m,32,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=17 deg: episodes >=0.10 m,23,-,
gated_residual,v2 g=17 deg: frames >=0.20 m,12,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=17 deg: episodes >=0.20 m,10,-,
gated_residual,v2 g=17 deg: frames >=0.30 m,8,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=17 deg: episodes >=0.30 m,7,-,
gated_residual,v2 g=17 deg: frames >=0.50 m,0,frame,pseudo-steps surviving in the gated output stream
gated_residual,v2 g=17 deg: episodes >=0.50 m,0,-,
gated_residual,v3b g=10 deg: frames >=0.05 m,78,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=10 deg: episodes >=0.05 m,55,-,
gated_residual,v3b g=10 deg: frames >=0.10 m,31,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=10 deg: episodes >=0.10 m,23,-,
gated_residual,v3b g=10 deg: frames >=0.20 m,14,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=10 deg: episodes >=0.20 m,10,-,
gated_residual,v3b g=10 deg: frames >=0.30 m,9,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=10 deg: episodes >=0.30 m,7,-,
gated_residual,v3b g=10 deg: frames >=0.50 m,1,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=10 deg: episodes >=0.50 m,1,-,
gated_residual,v3b g=17 deg: frames >=0.05 m,86,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=17 deg: episodes >=0.05 m,54,-,
gated_residual,v3b g=17 deg: frames >=0.10 m,27,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=17 deg: episodes >=0.10 m,20,-,
gated_residual,v3b g=17 deg: frames >=0.20 m,13,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=17 deg: episodes >=0.20 m,10,-,
gated_residual,v3b g=17 deg: frames >=0.30 m,9,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=17 deg: episodes >=0.30 m,7,-,
gated_residual,v3b g=17 deg: frames >=0.50 m,2,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3b g=17 deg: episodes >=0.50 m,1,-,
gated_residual,v3a g=10 deg: frames >=0.05 m,43,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=10 deg: episodes >=0.05 m,39,-,
gated_residual,v3a g=10 deg: frames >=0.10 m,13,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=10 deg: episodes >=0.10 m,13,-,
gated_residual,v3a g=10 deg: frames >=0.20 m,0,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=10 deg: episodes >=0.20 m,0,-,
gated_residual,v3a g=10 deg: frames >=0.30 m,0,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=10 deg: episodes >=0.30 m,0,-,
gated_residual,v3a g=10 deg: frames >=0.50 m,0,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=10 deg: episodes >=0.50 m,0,-,
gated_residual,v3a g=17 deg: frames >=0.05 m,47,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=17 deg: episodes >=0.05 m,35,-,
gated_residual,v3a g=17 deg: frames >=0.10 m,4,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=17 deg: episodes >=0.10 m,4,-,
gated_residual,v3a g=17 deg: frames >=0.20 m,0,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=17 deg: episodes >=0.20 m,0,-,
gated_residual,v3a g=17 deg: frames >=0.30 m,0,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=17 deg: episodes >=0.30 m,0,-,
gated_residual,v3a g=17 deg: frames >=0.50 m,0,frame,pseudo-steps surviving in the gated output stream
gated_residual,v3a g=17 deg: episodes >=0.50 m,0,-,
gated_residual,episode definition,consecutive or within 5 s,,residual frames are grouped into episodes; the episode size is its largest step
gated_residual,re-anchor mark,accepted frame whose predecessor was not accepted,,"marks a step produced by the gate adopting a new heading, not by an accepted outlier"
hold_cost,omega p99,0.6605,rad/s,measured gyro p99
hold_cost,omega max,1.4537,rad/s,measured gyro max
hold_cost,"bound at omega p99, h=1",0.0483,m,"2|L| sin(omega h tau / 2), tau = 0.2 s"
hold_cost,"bound at omega max, h=1",0.1059,m,
hold_cost,"bound at omega p99, h=2",0.0963,m,"2|L| sin(omega h tau / 2), tau = 0.2 s"
hold_cost,"bound at omega max, h=2",0.2096,m,
hold_cost,"bound at omega p99, h=3",0.1439,m,"2|L| sin(omega h tau / 2), tau = 0.2 s"
hold_cost,"bound at omega max, h=3",0.3088,m,
hold_cost,"bound at omega p99, h=4",0.1909,m,"2|L| sin(omega h tau / 2), tau = 0.2 s"
hold_cost,"bound at omega max, h=4",0.4016,m,
hold_cost,"bound at omega p99, h=5",0.2371,m,"2|L| sin(omega h tau / 2), tau = 0.2 s"
hold_cost,"bound at omega max, h=5",0.4858,m,
hold_cost,"measured max during genuine holds (v3a, g=17)",0.0235,m,2|L| sin(Delta_held/2) with Delta_held from the IMU-integrated yaw
hold_cost,"measured RMS during genuine holds (v3a, g=17)",0.0062,m,
hold_cost,fault step bound 2|L|,0.7311,m,what the gate buys against
induced,recordings,1,bag,run_20260906_2026-09-06-15-26-15
induced,session,"2026-09-06 15:26-16:24, greenhouse, vehicle parked",,"controlled multipath induction: a 0.50 x 0.70 m metal plate held beside the antennas, three attempts, two produced a false fix (field log of the 2026-09-06 induction session, not distributed); this is the session behind P1's E3b, not natural operation"
induced,frames,17547,frame,usable increments in the induced session
induced,fixed hours,0.7938,h,
operational,recordings,46,bag,everything else
operational,frames,347252,frame,
operational,fixed hours,18.1753,h,
operational,both showcase events are induced,1,-,the 15:57 (67.5 deg) and 15:51 (178.9 deg) events of section 6 are both inside the induction session; no operational recording carries a step of that size
pseudo_step_induced,frames >=0.05 m,40,frame,
pseudo_step_induced,episodes >=0.05 m,14,-,frames within 5 s are one episode
pseudo_step_induced,rate >=0.05 m,50.3884,1/h,per hour of fixed solution in this subset (0.79 h)
pseudo_step_induced,frames >=0.10 m,15,frame,
pseudo_step_induced,episodes >=0.10 m,6,-,frames within 5 s are one episode
pseudo_step_induced,rate >=0.10 m,18.8957,1/h,per hour of fixed solution in this subset (0.79 h)
pseudo_step_induced,frames >=0.20 m,7,frame,
pseudo_step_induced,episodes >=0.20 m,3,-,frames within 5 s are one episode
pseudo_step_induced,rate >=0.20 m,8.818,1/h,per hour of fixed solution in this subset (0.79 h)
pseudo_step_induced,frames >=0.30 m,6,frame,
pseudo_step_induced,episodes >=0.30 m,2,-,frames within 5 s are one episode
pseudo_step_induced,rate >=0.30 m,7.5583,1/h,per hour of fixed solution in this subset (0.79 h)
pseudo_step_induced,frames >=0.50 m,1,frame,
pseudo_step_induced,episodes >=0.50 m,1,-,frames within 5 s are one episode
pseudo_step_induced,rate >=0.50 m,1.2597,1/h,per hour of fixed solution in this subset (0.79 h)
